SysID	ItemNo	PartNo	PartName	IDCust	Image	IDProject	PackingType	PartTypeID	StdPack	FGLocation	QtyPerCar	SupplierID	CreateBy	IsActive	IsDelete	NameType	INSERT INTO BOM1 (SysID, ItemNo, PartNo, PartName, IDCust, Image, IDProject, PackingType, PartTypeID, StdPack, FGLocation, QtyPerCar, SupplierID, CreateBy, IsActive, IsDelete, NameType) VALUES 
SAI1700187	76	85323-74P00	REINF, FR BACK FRAME NO.2,R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700187','76','85323-74P00','REINF, FR BACK FRAME NO.2,R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700188	77	85823-74P00	REINF, FR BACK FRAME NO.2,L	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700188','77','85823-74P00','REINF, FR BACK FRAME NO.2,L','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700189	78	85318-74P10	HOOK, SPIRAL SPRING, R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700189','78','85318-74P10','HOOK, SPIRAL SPRING, R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700190	79	85818-74P10	HOOK, SPIRAL SPRING, L	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700190','79','85818-74P10','HOOK, SPIRAL SPRING, L','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700194	57	5220K734	REINF.ASS''Y FR S/MBR RR UPR     RH	549	NULL	10009		FG3	0		1	0	50509	1	1	0	('SAI1700194','57','5220K734','REINF.ASS''Y FR S/MBR RR UPR     RH','549',NULL,'10009','','FG3','0','','1','0','50509','1','1',0),
SAI1700227	1	A163-97508	BKT FR SEAT BA SUPPORT RH (D01205600)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700227','1','A163-97508','BKT FR SEAT BA SUPPORT RH (D01205600)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700323	97	B146-87402	BRKT FR INNER SEAT TRACK LW FR LH   (B121700)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700323','97','B146-87402','BRKT FR INNER SEAT TRACK LW FR LH   (B121700)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700324	98	A154-97504 (LO)	REINF. FR SEAT BACK FRAME LH (D01205400)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700324','98','A154-97504 (LO)','REINF. FR SEAT BACK FRAME LH (D01205400)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700325	99	B095-87402	PLATE SUB-ASSY RR SEAT TURN SET INNER	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700325','99','B095-87402','PLATE SUB-ASSY RR SEAT TURN SET INNER','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700326	100	B143-87402	BRKT FR OUTER SEAT TRACK LWR RR   (B121500)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700326','100','B143-87402','BRKT FR OUTER SEAT TRACK LWR RR   (B121500)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
